"Well","CQ"
"A1",18.3137541434746
"A2",18.3137541434746
"A3",18.0606079970079
"A4",18.3192578107023
"A5",18.123789488756
"A6",18.260125910779
"A7",18.0883413963283
"A8",18.1440475095246
"A9",18.265361373698
"A10",18.2469537199896
"A11",18.2995162751256
"A12",18.5981814243073
"B1",18.5080830867285
"B2",18.3243264313787
"B3",18.2111877957535
"B4",18.1102027399375
"B5",17.8049886399252
"B6",17.9955834843502
"B7",18.0251687548114
"B8",18.0446983341063
"B9",18.0716029599832
"B10",17.9659998540665
"B11",18.2807727301198
"B12",18.2807727301198
"C1",18.3032036735358
"C2",18.1610725174033
"C3",18.1017797957867
"C4",18.0243643728045
"C5",18.0272994571271
"C6",17.9716573916481
"C7",18.0768512905606
"C8",17.9388325663391
"C9",18.0496873581142
"C10",17.9537737605667
"C11",17.9950512345408
"C12",18.1619238329825
"D1",18.3049985243884
"D2",18.1919184109898
"D3",17.995895725304
"D4",17.920728455658
"D5",18.0213518100312
"D6",18.0790096515731
"D7",18.1046610146629
"D8",17.9221668698551
"D9",17.7526313938164
"D10",18.0901260302377
"D11",18.0003104829651
"D12",18.1729490422803
"E1",18.2081862667014
"E2",18.2793047981146
"E3",18.0501866394289
"E4",18.0100393261116
"E5",18.036666737832
"E6",18.0920129883552
"E7",17.9552767149494
"E8",17.9821674808915
"E9",17.9882544906543
"E10",17.9475577486565
"E11",17.997970726061
"E12",18.0879164142757
"F1",18.2974475544828
"F2",18.2115942928462
"F3",18.0974521980035
"F4",18.0827953279427
"F5",18.0111513846785
"F6",18.0111094196598
"F7",18.0111094196598
"F8",17.8669692738698
"F9",18.3465729003988
"F10",17.9805530304548
"F11",17.9365507465415
"F12",18.071564984497
"G1",18.1707389054474
"G2",18.1707389054474
"G3",18.1535559141239
"G4",18.0569740149215
"G5",17.9417348909777
"G6",17.9799674535095
"G7",17.9669122054335
"G8",18.0132618565717
"G9",18.0001975592808
"G10",18.0592920379471
"G11",18.1099399237474
"G12",18.2938522227976
"H1",18.5132389427508
"H2",18.312199535168
"H3",18.1503812487746
"H4",18.2554746890719
"H5",17.9959351664947
"H6",18.0401849609289
"H7",18.1279628139035
"H8",18.0948967473468
"H9",17.9700984791811
"H10",18.1550209389961
"H11",18.2139731405766
"H12",18.2139731405766
